evaluation_id,vendor_id,vendor,category_id,evaluation_category,criterion_id,evaluation_criterion,evaluation_status,assigned_score,rating,score_justification,evidence_summary,source_type,source_url,evidence_confidence,evaluation_notes
E0126,V008,Writer AI,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Supports end-to-end development without requiring custom boilerplate application code.,"Writer provides prebuilt agent templates, visual debuggers, local development sync, quickstart workflows, custom Python extension blocks, Docker-based local/cloud workflows, and official REST/Python/JS SDKs.",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/overview) ; [2](https://dev.writer.com/agent-builder/quickstart) ; [3](https://dev.writer.com/home/development_options),High,Supports end-to-end development without requiring custom boilerplate application code.
E0127,V008,Writer AI,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. External model support is available on Enterprise plans; provider and regional availability varies.,"Writer AI Studio supports its proprietary Palmyra foundation models (including Palmyra X5, Med, and Fin) alongside external models from AWS Bedrock, Microsoft Azure, and NVIDIA NIM, selectable via unified model settings and API parameters.",Technical documentation and developer guides,1](https://dev.writer.com/home/models-overview) ; [2](https://dev.writer.com/home/external-models),High,External model support is available on Enterprise plans; provider and regional availability varies.
E0128,V008,Writer AI,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Agents orchestrate work across multiple sub-agents, external systems, and reusable tool agents.","Writer Agent Builder supports multi-agent architectures by enabling agents to invoke, route tasks to, exchange state with, and be chained to other Writer-built agents and deployed no-code tools across shared enterprise workflows.",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/agent-architecture) ; [2](https://dev.writer.com/home/applications-tool-calling) ; [3](https://dev.writer.com/agent-builder/overview),High,"Agents orchestrate work across multiple sub-agents, external systems, and reusable tool agents."
E0129,V008,Writer AI,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Docker-based containerization enables portable deployment across cloud, hybrid, and on-premises infrastructure.","Writer supports deployment to Writer Cloud (multi-tenant SaaS), dedicated private clouds, multi-cloud setups (AWS, Azure), and self-contained Docker containers running on cloud platforms, on-premises servers, or local machines via Writer Framework.",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/deploy-with-docker) ; [2](https://dev.writer.com/framework/deploy-with-docker) ; [3](https://writer.com/trust/),High,"Docker-based containerization enables portable deployment across cloud, hybrid, and on-premises infrastructure."
E0130,V008,Writer AI,CAT03,Category 3 - Enterprise Integration & Deployment,C11,Tool & API Integration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Native MCP gateway and tool calling blocks enable secure bi-directional connections to enterprise APIs and data stores.,"Agents integrate with enterprise systems via Tool Calling blocks, REST APIs, developer SDKs, prebuilt integration blocks (e.g., PDF parsing, web search), and an MCP gateway offering prebuilt and custom connectors with configurable authentication and permissions.",Technical documentation and developer guides,1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/home/mcp-gateway) ; [3](https://dev.writer.com/home/development_options),High,Native MCP gateway and tool calling blocks enable secure bi-directional connections to enterprise APIs and data stores.
E0131,V008,Writer AI,CAT04,"Category 4 - Governance, Security & Trust",C12,Governance & Security,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Enterprise-grade security framework with inline guardrails and strict zero-retention guarantees.,"Writer maintains SOC 2 Type II, ISO 27001/27701/42001, and HIPAA compliance, enforcing RBAC, SSO/MFA, tenant data isolation, connector permissions, PII/content guardrails, and contractual zero customer data training policies.",Technical documentation and developer guides,1](https://writer.com/trust/) ; [2](https://dev.writer.com/home/guardrails) ; [3](https://dev.writer.com/home/mcp-gateway),High,Enterprise-grade security framework with inline guardrails and strict zero-retention guarantees.
E0132,V008,Writer AI,CAT04,"Category 4 - Governance, Security & Trust",C13,Human-in-the-Loop (HITL),Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Documented approval workflows allow manual review checkpoints before publishing or updating external systems.,"Writer agents support human review checkpoints, guided pagination interfaces, and approval-gated staging workflows (e.g., Palmyra X5 content generation and publishing approvals) before executing external operations.",Official Documentation,1](https://dev.writer.com/home/models) ; [2](https://writer.com/solutions/healthcare/),High,Documented approval workflows allow manual review checkpoints before publishing or updating external systems.
E0133,V008,Writer AI,CAT04,"Category 4 - Governance, Security & Trust",C14,Observability & Explainability,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Delivers operational tracing, latency/cost telemetry, and source citations; not formal model-feature attribution.","AI Studio provides session logs, performance metrics, event logs, execution state inspection, token usage, cost analytics, and OpenTelemetry exports, while chat interfaces offer step decomposition and direct Knowledge Graph source citations.",Technical documentation and developer guides,1](https://dev.writer.com/home/agent-observability) ; [2](https://dev.writer.com/home/observability) ; [3](https://dev.writer.com/agent-builder/troubleshooting) ; [4](https://writer.com/blog/chat-app-rag-thought-process/),High,"Delivers operational tracing, latency/cost telemetry, and source citations; not formal model-feature attribution."
E0134,V008,Writer AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C15,Business Domain Fit,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Purpose-built models and workflow templates fine-tuned on regulated industry terminology and schemas.,"Provides domain-specialized foundation models (Palmyra-Med for healthcare/life sciences, Palmyra-Fin for financial services) and prebuilt agent libraries spanning finance, healthcare, legal, retail, marketing, sales, HR, and customer support.",Official Documentation,1](https://writer.com/solutions/financial-services/) ; [2](https://writer.com/solutions/healthcare/) ; [3](https://writer.com/agents/) ; [4](https://dev.writer.com/home/models),High,Purpose-built models and workflow templates fine-tuned on regulated industry terminology and schemas.
E0135,V008,Writer AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C16,Business Value / ROI,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Demonstrates quantifiable productivity and financial outcomes; Forrester study was commissioned by Writer and metrics are customer-reported.,"A Forrester TEI study reported 333% ROI, $12.02M NPV over 3 years, and payback under 6 months. Customer implementations show Qualcomm saving ~2,400 hours/month, Salesforce reporting a 20% productivity boost, and rapid deployment of custom workflows within days.","Analyst reports (e.g., Gartner, Forrester, IDC)",1](https://writer.com/blog/forrester-tei-findings/) ; [2](https://writer.com/blog/qualcomm-customer-story/) ; [3](https://writer.com/blog/salesforce-customer-story/) ; [4](https://writer.com/),High / Medium,Demonstrates quantifiable productivity and financial outcomes; Forrester study was commissioned by Writer and metrics are customer-reported.
E0136,V008,Writer AI,CAT05,Category 5 - Enterprise Readiness & Business Value,C17,Scalability,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. High-capacity context processing paired with horizontally scalable cloud and container runtimes.,"Scalable architecture leverages Knowledge Graph Retrieval Aware Compression (RAC) to index enterprise datasets, supporting up to 1M token context windows on Palmyra X5, with proven enterprise adoption across thousands of enterprise users (e.g., 3,000+ Salesforce employees).",Technical documentation and developer guides,1](https://dev.writer.com/agent-builder/deploy-with-docker) ; [2](https://writer.com/blog/salesforce-customer-story/) ; [3](https://writer.com/blog/retrieval-augmented-generation-rag/),High,High-capacity context processing paired with horizontally scalable cloud and container runtimes.
